,X,Y,objectid,Designação,nome_escola,endereco,bairro,cre,cod_atividade,globalid,cod_microarea,Código da Escola_x,Nome da Escola_x,Média - 6º a 9º ano,Taxa de Aprovação - 2021 - 6º,Taxa de Aprovação - 2021 - 7º,Taxa de Aprovação - 2021 - 8º,Taxa de Aprovação - 2021 - 9º,Indicador de Rendimento (P)_x,Nota SAEB - 2021 - Matemática_x,Nota SAEB - 2021 - Língua Portuguesa_x,Nota SAEB - 2021 - Nota Média Padronizada (N),IDEB 2021 (N x P)_x,Código da Escola_y,Nome da Escola_y,Taxa de Aprovação - 2021 - 1º ao 5º ano,Taxa de Aprovação - 2021 - 1º,Taxa de Aprovação - 2021 - 2º,Taxa de Aprovação - 2021 - 3º,Taxa de Aprovação - 2021 - 4º,Taxa de Aprovação - 2021 - 5º,Indicador de Rendimento (P)_y,Nota SAEB - 2021 - Matemática_y,Nota SAEB - 2021 - Língua Portuguesa_y,Nota Média Padronizada (N),IDEB 2021 (N x P)_y
928,-43.5309529513191,-22.9135564115549,17273.0,918614,Creche Municipal Zélia Chauke Curi,RUA JUAREZ ANTUNESS/N,Campo Grande,9.0,2.0,{76692A2D-21E9-4BED-9C2D-2DA0A3585B68},9.16,,,,,,,,,,,,,,,,,,,,,,,,,
929,-43.5607822383934,-22.9062668683286,17274.0,918013,Escola Municipal Venezuela,"Rua Amaral Costa, 37",Campo Grande,9.0,1.0,{1A9AA79A-2B60-4E2E-90A6-D82AF1A3588B},9.18,33083479.0,ESCOLA MUNICIPAL VENEZUELA,100.0,100,100.0,100.0,100.0,1.0,260.75,267.73,5.474667,5.5,,,,,,,,,,,,,
930,-43.6096180310051,-22.8871710406786,17276.0,918011,Escola Municipal Professor Manoel Maurício,"Rua Marcorama, S/Nº - Santa Margarida",Cosmos,9.0,1.0,{8E304472-9847-4322-97E4-0CF3DD43DAC8},9.12,,,,,,,,,,,,,,,,,,,,,,,,,
931,-43.5429092456181,-22.8519718281575,17277.0,918079,Escola Municipal Constantino Magalhães,"Rua do Paulistano, S/Nº - Mendanha",Campo Grande,9.0,1.0,{64273474-6BC1-4957-B852-B645251C05C1},9.3,,,,,,,,,,,,,33082766.0,ESCOLA MUNICIPAL CONSTANTINO MAGALHAES,100.0,100,100,100,100,100.0,1.0,226.31,213.83,6.170764,6.2
932,-43.5306224427056,-22.8767747748085,17278.0,918044,Escola Municipal Ernesto Nazareth,"Rua Bastos Tigre, S/Nº  ",Santíssimo,9.0,1.0,{1577C9CE-F0BE-42E9-90D6-3DC944F41410},9.2,,,,,,,,,,,,,33082855.0,ESCOLA MUNICIPAL ERNESTO NAZARETH,99.7,100,98.9,100,100,100.0,0.99778,210.31,200.74,5.627421,5.6
933,-43.2499203465728,-22.9027824221504,17279.0,313002,Escola Municipal José Veríssimo,"Rua Henrique Dias, 34  ",Rocha,3.0,1.0,{32BC231A-8642-4C38-83AC-E2672094EF59},3.2,33072906.0,ESCOLA MUNICIPAL JOSE VERISSIMO,98.4,96.1,99.2,99.0,100.0,0.985526,246.37,253.09,4.991,4.9,,,,,,,,,,,,,
934,-43.3780375308926,-22.8616377939275,17280.0,515501,CIEP Augusto Pinheiro de Carvalho,"Rua Xavier Curado, S/Nº  ",Marechal Hermes,5.0,3.0,{4EECD925-2921-4CAF-A4FD-3665FC43C067},5.18,,,,,,,,,,,,,33075050.0,CIEP AUGUSTO PINHEIRO DE CARVALHO,100.0,100,100,100,100,100.0,1.0,219.56,210.7,5.985038,6.0
935,-43.3374393718512,-22.8254357101776,17281.0,625501,CIEP Doutor Adão Pereira Nunes,"Av. Brasil, S/Nº  ",Acari,6.0,3.0,{0693C987-D155-48FD-9564-4B32D53956A6},6.3,,,,,,,,,,,,,,,,,,,,,,,,,
936,-43.3541435219558,-22.8106177808175,17282.0,625503,CIEP Glauber Rocha,"Rua Frei Vicente, S/Nº  ",Pavuna,6.0,3.0,{2A2C0576-5756-4B8D-8BEB-FE72ACEF4817},6.1,,,,,,,,,,,,,,,,,,,,,,,,,
937,-43.3693390487612,-22.9335213449895,17283.0,716049,Escola Municipal Renato Leite,"Rua Carlos Pallut, 271  ",Taquara,7.0,1.0,{9054E459-6B91-4B68-B889-D4FEADDBBBDA},7.13,,,,,,,,,,,,,,,,,,,,,,,,,
